CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
SetNestedPropertiesIgnoreRule.java,1,15.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,
SetNestedPropertiesRule.java,1,103.0,108.0,5.0,3.0,17.0,27.0,9.0,8.0,6.0,7.0,0.55
SetNestedPropertiesRule.java,1,12.0,5.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.55
SetNext.java,0,,,,,,,,,,,
SetNextBuilder.java,1,0.0,37.0,0.0,2.0,0.0,8.0,0.0,3.0,0.0,2.0,0.5
SetNextHandler.java,1,0.0,17.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,2.0,
SetNextRule.java,1,5.0,19.0,0.0,0.0,2.0,6.0,1.0,4.0,1.0,4.0,0.6
SetNextRule.java,1,0.0,27.0,1.0,3.0,0.0,8.0,1.0,3.0,0.0,2.0,0.6
SetPropertiesAliasRule.java,1,0.0,20.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,
SetPropertiesBuilder.java,1,19.0,42.0,3.0,1.0,5.0,12.0,3.0,4.0,1.0,4.0,0.444444444
SetPropertiesHandler.java,2,0.0,33.0,2.0,4.0,0.0,9.0,2.0,3.0,0.0,2.0,0.75
SetPropertiesIgnoreRule.java,1,10.0,5.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,
SetPropertiesRule.java,1,89.0,180.0,6.0,22.0,13.0,39.0,8.0,15.0,3.0,6.0,0.681818182
SetPropertiesRule.java,1,0.0,17.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.681818182
SetPropertiesRule.java,2,89.0,180.0,6.0,22.0,13.0,39.0,8.0,15.0,3.0,6.0,0.681818182
SetPropertiesRule.java,2,0.0,17.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.681818182
SetProperty.java,0,,,,,,,,,,,
SetPropertyBuilder.java,1,12.0,30.0,2.0,2.0,1.0,7.0,2.0,3.0,0.0,3.0,0.6
SetPropertyRule.java,4,68.0,93.0,6.0,12.0,9.0,26.0,6.0,6.0,1.0,2.0,0.727272727
SetPropertyRule.java,4,15.0,5.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.727272727
SetPropertyRule.java,1,68.0,93.0,6.0,12.0,9.0,26.0,6.0,6.0,1.0,2.0,0.727272727
SetPropertyRule.java,1,15.0,5.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.727272727
SetRoot.java,0,,,,,,,,,,,
SetRootBuilder.java,1,9.0,28.0,1.0,1.0,1.0,7.0,1.0,2.0,0.0,2.0,0.5
SetRootHandler.java,1,17.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,
SetRootRule.java,1,10.0,13.0,0.0,0.0,4.0,4.0,2.0,3.0,2.0,3.0,0.4
SetRootRule.java,1,22.0,5.0,4.0,0.0,6.0,2.0,3.0,1.0,1.0,1.0,0.4
SetTop.java,0,,,,,,,,,,,
SetTopBuilder.java,1,6.0,31.0,1.0,1.0,1.0,7.0,1.0,2.0,0.0,2.0,0.25
SetTopHandler.java,3,14.0,31.0,2.0,2.0,3.0,9.0,2.0,2.0,0.0,2.0,0.25
SetTopRule.java,1,0.0,24.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,5.0,0.4
SetTopRule.java,1,22.0,5.0,4.0,0.0,6.0,2.0,3.0,1.0,1.0,1.0,0.4
SimpleRegexMatcher.java,4,96.0,126.0,7.0,22.0,12.0,30.0,9.0,12.0,2.0,4.0,0.882352941
StackAction.java,0,,,,,,,,,,,
Substitutor.java,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
VariableAttributes.java,1,54.0,93.0,6.0,6.0,12.0,22.0,13.0,7.0,8.0,6.0,0.46153846200000004
VariableExpander.java,0,,,,,,,,,,,
VariableSubstitutor.java,1,0.0,47.0,2.0,2.0,0.0,16.0,2.0,4.0,0.0,4.0,1.0
WithDefaultsRulesWrapper.java,1,51.0,82.0,6.0,6.0,13.0,23.0,10.0,7.0,5.0,6.0,0.4
WithMemoryRulesBinder.java,1,10.0,36.0,0.0,0.0,3.0,11.0,2.0,6.0,2.0,6.0,0.4375
WithMemoryRulesBinder.java,1,20.0,27.0,0.0,0.0,7.0,8.0,4.0,4.0,4.0,4.0,0.4375
XmlRulesModule.java,2,5.0,271.0,1.0,5.0,1.0,40.0,1.0,5.0,0.0,3.0,0.75
