CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
NoJexl.java,0,,,,,,,,,,,
NumberParser.java,3,35.0,257.0,5.0,32.0,10.0,66.0,7.0,23.0,2.0,8.0,0.75862069
ObjectContext.java,1,5.0,41.0,3.0,3.0,1.0,10.0,2.0,6.0,0.0,5.0,0.857142857
Operators.java,7,182.0,584.0,24.0,73.0,29.0,128.0,22.0,39.0,0.0,9.0,0.724489796
ParseException.java,1,25.0,37.0,0.0,0.0,4.0,12.0,2.0,4.0,2.0,4.0,0.0
ParserVisitor.java,1,19.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,
Permissions.java,4,51.0,167.0,17.0,33.0,16.0,54.0,16.0,15.0,1.0,5.0,0.591836735
PropertyGetExecutor.java,2,13.0,117.0,6.0,12.0,7.0,24.0,6.0,10.0,0.0,7.0,0.6
PropertySetExecutor.java,3,11.0,230.0,9.0,37.0,7.0,46.0,9.0,22.0,0.0,8.0,0.8611111109999999
SandboxUberspect.java,2,36.0,139.0,10.0,20.0,9.0,32.0,13.0,14.0,3.0,9.0,0.7692307690000001
Scope.java,2,58.0,406.0,22.0,62.0,7.0,88.0,21.0,35.0,3.0,11.0,0.712643678
Script.java,1,35.0,223.0,13.0,17.0,10.0,50.0,14.0,22.0,2.0,19.0,0.571428571
SetBuilder.java,1,0.0,18.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,1.0
SimpleNode.java,1,97.0,64.0,11.0,5.0,20.0,19.0,12.0,13.0,6.0,11.0,0.333333333
SoftCache.java,1,3.0,155.0,0.0,14.0,1.0,33.0,1.0,13.0,1.0,6.0,0.45833333299999995
StringParser.java,5,58.0,264.0,21.0,45.0,21.0,59.0,19.0,24.0,0.0,6.0,0.803030303
TemplateDebugger.java,3,86.0,398.0,27.0,45.0,19.0,91.0,27.0,24.0,3.0,10.0,0.611111111
TemplateEngine.java,2,75.0,754.0,18.0,85.0,22.0,194.0,18.0,48.0,1.0,11.0,0.781725888
TemplateInterpreter.java,3,41.0,243.0,10.0,28.0,8.0,57.0,10.0,17.0,0.0,8.0,0.8684210529999999
TemplateScript.java,2,26.0,400.0,7.0,31.0,4.0,74.0,8.0,23.0,1.0,11.0,0.8857142859999999
TokenMgrError.java,2,194.0,0.0,18.0,0.0,45.0,0.0,21.0,0.0,8.0,0.0,0.0
Uberspect.java,3,83.0,550.0,16.0,79.0,16.0,124.0,18.0,55.0,4.0,17.0,0.8059701490000001
