CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation,,STATEMENTCoverage,BRANCHCoverage
DefaultKeyedValues2DDataset.java,0,0,3,0,0,0,1,0,1,0,1,,,,
DefaultKeyedValuesDataset.java,0,0,3,0,0,0,1,0,1,0,1,,,,
DefaultLogAxisEditor.java,1,156,0,12,0,42,0,13,0,7,0,0,,,
DefaultMultiValueCategoryDataset.java,2,110,262,22,26,32,65,24,20,9,11,0.449275362,,,
DefaultNumberAxisEditor.java,1,199,0,12,0,52,0,13,0,7,0,0,,,
DefaultOHLCDataset.java,1,75,121,10,8,22,34,15,14,8,12,0.606060606,,,
DefaultPieDataset.java,1,82,136,9,13,27,40,15,15,7,12,0.5,,,
DefaultPlotEditor.java,3,934,0,100,0,230,0,68,0,18,0,0,,,
DefaultPolarItemRenderer.java,2,720,345,89,29,200,94,82,16,24,15,0.202453988,,,
DefaultPolarPlotEditor.java,1,241,0,12,0,60,0,15,0,9,0,0,,,
DefaultShadowGenerator.java,2,383,62,22,8,78,18,25,3,11,2,0.09375,,,
DefaultStatisticalCategoryDataset.java,2,77,648,21,91,28,167,27,59,8,22,0.573643411,,,
DefaultTableXYDataset.java,1,115,539,19,47,28,141,23,46,9,27,0.547008547,,,
DefaultTitleEditor.java,1,391,0,22,0,96,0,22,0,11,0,0,,,
DefaultValueAxisEditor.java,1,546,0,32,0,128,0,36,0,20,0,0,,,
DefaultValueDataset.java,1,39,20,6,0,10,8,6,4,3,4,0,,,
DefaultWindDataset.java,2,109,199,12,18,25,42,15,13,6,7,0.483870968,,,
DefaultXYDataset.java,1,80,284,10,20,18,58,13,17,4,11,0.70212766,,,
DefaultXYItemRenderer.java,0,0,3,0,0,0,1,0,1,0,1,,,,
DefaultXYZDataset.java,1,68,360,11,27,15,72,16,20,5,12,0.727272727,,,
