CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
JndiBuilderProperties.java,0,,,,,,,,,,,
LegacyListDelimiterHandler.java,2,4.0,241.0,5.0,33.0,2.0,66.0,6.0,22.0,1.0,8.0,0.894736842
ListDelimiterHandler.java,0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0
LockMode.java,1,0.0,24.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,
Lookup.java,0,,,,,,,,,,,
ManagedReloadingDetector.java,1,0.0,22.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,4.0,1.0
ManagedReloadingDetectorMBean.java,0,,,,,,,,,,,
MapConfiguration.java,1,27.0,141.0,0.0,10.0,3.0,38.0,1.0,19.0,1.0,14.0,0.9523809520000001
MergeCombiner.java,4,0.0,218.0,1.0,27.0,0.0,47.0,1.0,18.0,0.0,5.0,0.933333333
ModelTransaction.java,1,4.0,538.0,3.0,41.0,0.0,135.0,3.0,54.0,0.0,35.0,0.956989247
MultiFileBuilderParameters.java,0,,,,,,,,,,,
MultiFileBuilderParametersImpl.java,1,0.0,72.0,0.0,4.0,0.0,23.0,0.0,12.0,0.0,10.0,1.0
MultiFileBuilderProperties.java,0,,,,,,,,,,,
MultiFileConfigurationBuilder.java,1,2.0,415.0,2.0,30.0,1.0,106.0,2.0,36.0,0.0,22.0,0.955555556
MultiFileConfigurationBuilderProvider.java,1,1.0,61.0,1.0,3.0,0.0,15.0,1.0,5.0,0.0,4.0,0.818181818
MultiWrapDynaBean.java,1,0.0,152.0,0.0,10.0,0.0,33.0,0.0,17.0,0.0,12.0,1.0
MultiWrapDynaClass.java,1,6.0,76.0,0.0,4.0,1.0,16.0,1.0,8.0,1.0,6.0,0.75
NoOpSynchronizer.java,1,0.0,18.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,5.0,
NodeAddData.java,1,0.0,38.0,0.0,2.0,0.0,13.0,0.0,7.0,0.0,6.0,1.0
NodeCombiner.java,1,0.0,31.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,6.0,1.0
NodeHandler.java,0,,,,,,,,,,,
NodeHandlerDecorator.java,1,0.0,86.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,16.0,1.0
NodeKeyResolver.java,0,,,,,,,,,,,
NodeMatcher.java,0,,,,,,,,,,,
NodeModel.java,0,,,,,,,,,,,
NodeModelSupport.java,0,,,,,,,,,,,
NodeNameMatchers.java,1,0.0,24.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0
NodeSelector.java,1,0.0,153.0,0.0,14.0,0.0,36.0,0.0,15.0,0.0,8.0,0.8666666670000001
NodeTracker.java,1,8.0,344.0,2.0,26.0,1.0,79.0,2.0,28.0,0.0,16.0,0.955555556
NodeTreeWalker.java,2,0.0,123.0,0.0,22.0,0.0,33.0,0.0,18.0,0.0,7.0,1.0
NodeUpdateData.java,1,3.0,47.0,0.0,4.0,1.0,15.0,1.0,8.0,1.0,6.0,0.8888888890000001
OverrideCombiner.java,3,0.0,147.0,1.0,19.0,0.0,29.0,1.0,13.0,0.0,4.0,1.0
Parameters.java,1,0.0,185.0,0.0,2.0,0.0,27.0,0.0,17.0,0.0,16.0,1.0
PatternSubtreeConfigurationWrapper.java,1,429.0,82.0,11.0,5.0,73.0,17.0,65.0,6.0,57.0,6.0,0.075
PeriodicReloadingTrigger.java,1,0.0,111.0,0.0,12.0,0.0,34.0,0.0,17.0,0.0,11.0,1.0
PrefixedKeysIterator.java,1,9.0,75.0,3.0,13.0,2.0,19.0,3.0,10.0,0.0,5.0,1.0
PropertiesBuilderParameters.java,0,,,,,,,,,,,
PropertiesBuilderParametersImpl.java,1,0.0,49.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,6.0,1.0
PropertiesBuilderProperties.java,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
PropertiesConfiguration.java,1,43.0,588.0,12.0,74.0,10.0,160.0,13.0,64.0,1.0,33.0,0.9152542370000001
PropertiesConfigurationLayout.java,1,13.0,663.0,4.0,80.0,4.0,174.0,4.0,75.0,0.0,37.0,0.917910448
PropertyConverter.java,4,188.0,1115.0,28.0,148.0,26.0,211.0,29.0,86.0,1.0,26.0,0.9125683059999999
PropertyListConfiguration.java,2,108.0,594.0,21.0,63.0,24.0,120.0,19.0,38.0,1.0,14.0,0.7008547009999999
ProvidedURLLocationStrategy.java,1,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0
QueryResult.java,1,0.0,113.0,0.0,8.0,0.0,27.0,0.0,14.0,0.0,10.0,0.9411764709999999
ReadWriteSynchronizer.java,1,0.0,38.0,0.0,2.0,0.0,14.0,0.0,8.0,0.0,7.0,0.666666667
ReferenceNodeHandler.java,0,,,,,,,,,,,
ReferenceTracker.java,2,13.0,133.0,4.0,16.0,2.0,35.0,4.0,12.0,0.0,6.0,1.0
ReloadingBuilderSupportListener.java,1,0.0,38.0,0.0,2.0,0.0,14.0,0.0,4.0,0.0,3.0,1.0
ReloadingCombinedConfigurationBuilder.java,1,0.0,97.0,0.0,6.0,0.0,32.0,0.0,13.0,0.0,10.0,0.916666667
ReloadingController.java,1,0.0,85.0,0.0,10.0,0.0,27.0,0.0,12.0,0.0,7.0,0.882352941
ReloadingControllerSupport.java,0,,,,,,,,,,,
ReloadingDetector.java,0,,,,,,,,,,,
ReloadingDetectorFactory.java,0,,,,,,,,,,,
ReloadingEvent.java,1,0.0,22.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,1.0
ReloadingFileBasedConfigurationBuilder.java,1,0.0,87.0,0.0,2.0,0.0,27.0,0.0,12.0,0.0,11.0,1.0
ReloadingMultiFileConfigurationBuilder.java,1,0.0,47.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,6.0,1.0
ServletConfiguration.java,1,0.0,26.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,4.0,1.0
ServletContextConfiguration.java,1,0.0,29.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,4.0,1.0
ServletFilterConfiguration.java,1,0.0,21.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,1.0
ServletRequestConfiguration.java,2,6.0,71.0,2.0,8.0,1.0,16.0,2.0,6.0,0.0,3.0,1.0
StrictConfigurationComparator.java,4,0.0,63.0,0.0,16.0,0.0,19.0,0.0,10.0,0.0,2.0,1.0
StringLookupAdapter.java,1,0.0,14.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0
SubnodeConfiguration.java,1,0.0,99.0,0.0,6.0,0.0,26.0,0.0,14.0,0.0,11.0,1.0
SubsetConfiguration.java,1,20.0,225.0,4.0,20.0,3.0,48.0,4.0,28.0,0.0,20.0,0.9285714290000001
Synchronizer.java,0,,,,,,,,,,,
SynchronizerSupport.java,0,,,,,,,,,,,
SystemConfiguration.java,1,4.0,78.0,1.0,5.0,2.0,21.0,2.0,7.0,1.0,5.0,0.875
SystemPropertiesLookup.java,1,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
TrackedNodeHandler.java,1,0.0,21.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,4.0,1.0
TrackedNodeModel.java,1,0.0,134.0,1.0,7.0,0.0,36.0,1.0,19.0,0.0,16.0,0.8
TreeData.java,1,13.0,144.0,0.0,10.0,1.0,35.0,1.0,17.0,1.0,12.0,0.875
TreeUtils.java,3,0.0,113.0,1.0,11.0,0.0,22.0,1.0,7.0,0.0,2.0,0.0
UnionCombiner.java,3,0.0,119.0,0.0,16.0,0.0,25.0,0.0,11.0,0.0,3.0,1.0
VFSFileHandlerReloadingDetector.java,1,23.0,99.0,0.0,8.0,4.0,27.0,0.0,10.0,0.0,6.0,1.0
VFSFileSystem.java,4,450.0,95.0,59.0,13.0,108.0,29.0,40.0,6.0,5.0,5.0,0.15
ValueTransformer.java,0,,,,,,,,,,,
VerifiableOutputStream.java,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
XMLBeanDeclaration.java,1,51.0,315.0,8.0,28.0,13.0,74.0,7.0,36.0,0.0,25.0,0.87755102
XMLBuilderParameters.java,0,,,,,,,,,,,
XMLBuilderParametersImpl.java,1,0.0,71.0,0.0,0.0,0.0,17.0,0.0,9.0,0.0,9.0,1.0
XMLBuilderProperties.java,0,,,,,,,,,,,
XMLConfiguration.java,2,32.0,903.0,1.0,105.0,7.0,239.0,1.0,90.0,0.0,38.0,0.870588235
XMLDocumentHelper.java,1,0.0,192.0,0.0,4.0,0.0,58.0,0.0,20.0,0.0,18.0,1.0
XMLListReference.java,2,0.0,150.0,1.0,19.0,0.0,38.0,1.0,17.0,0.0,8.0,0.8636363640000001
XMLPropertiesConfiguration.java,2,78.0,305.0,14.0,20.0,15.0,82.0,14.0,18.0,2.0,13.0,0.74
XMLPropertyListConfiguration.java,2,132.0,515.0,14.0,50.0,29.0,104.0,11.0,34.0,1.0,12.0,0.811594203
XPathContextFactory.java,1,0.0,13.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0
XPathExpressionEngine.java,2,23.0,459.0,1.0,57.0,8.0,114.0,1.0,45.0,0.0,17.0,0.857142857
YAMLConfiguration.java,1,46.0,73.0,0.0,0.0,20.0,21.0,2.0,8.0,2.0,8.0,0.538461538
